Are you self-employed?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Do you currently have a mental health disorder?,Do you have a family history of mental illness?,Do you have previous employers?,Do you know the options for mental health care available under your employer-provided health coverage?,Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Does your employer provide mental health benefits as part of healthcare coverage?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Have you had a mental health disorder in the past?,Have you observed or experienced a *supportive or well handled response* to a mental health issue in your current or previous workplace?,Have your previous employers provided mental health benefits?,How many employees does your company or organization have?,How willing would you be to share with friends and family that you have a mental illness?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?","If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when not being treated effectively (i.e., when you are experiencing symptoms)?",Is your employer primarily a tech company/organization?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Were you aware of the options for mental health care provided by your previous employers?,What country do you live in?,What country do you work in?,What is your age?,Would you bring up your *mental* health with a potential employer in an interview?,Would you feel comfortable discussing a mental health issue with your coworkers?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,year
0,None did,Maybe,I don't know,1,No,Some did,I don't know,0,Maybe,No,Some did,6-25,Somewhat not open,I don't know,Not applicable to me,Sometimes,1,I don't know,I was aware of some,United States of America,United States of America,45.0,Maybe,No,Some of my previous employers,2016
1,None did,Maybe,Yes,1,Unknown,None did,Unknown,1,Yes,Maybe/Not sure,I don't know,Unknown,Neutral,Unknown,Not applicable to me,Not applicable to me,Unknown,Unknown,N/A (not currently aware),United Kingdom,United Kingdom,43.0,Yes,Unknown,I don't know,2016
0,Some did,Yes,No,1,Yes,"Yes, they all did",Yes,1,Maybe,No,Some did,6-25,Somewhat open,Very easy,Often,Often,1,Yes,"Yes, I was aware of all of them",United States of America,United States of America,37.0,No,Yes,Some of my previous employers,2016
0,None did,Yes,I don't know,1,Unknown,None did,No,1,Yes,Maybe/Not sure,"No, none did",26-100,Neutral,Somewhat easy,Sometimes,Often,1,I don't know,N/A (not currently aware),Australia,Australia,37.0,No,No,"No, at none of my previous employers",2016
0,None did,No,Yes,1,Yes,Some did,Yes,0,No,Maybe/Not sure,Some did,6-25,Somewhat open,Very easy,Not applicable to me,Not applicable to me,1,Yes,I was aware of some,United States of America,United States of America,27.0,Yes,Yes,Some of my previous employers,2016
1,None did,No,No,1,Unknown,None did,Unknown,0,No,Unknown,"Yes, they all did",Unknown,Not applicable to me (I do not have a mental illness),Unknown,Not applicable to me,Not applicable to me,Unknown,Unknown,"Yes, I was aware of all of them",Netherlands,Netherlands,31.0,Yes,Unknown,"Yes, at all of my previous employers",2016
0,Some did,Yes,Yes,1,Yes,Some did,Yes,1,Yes,"Yes, I experienced","Yes, they all did",More than 1000,Neutral,Somewhat difficult,Never,Sometimes,1,I don't know,"Yes, I was aware of all of them",United States of America,United States of America,36.0,Maybe,Maybe,Some of my previous employers,2016
0,None did,Maybe,No,1,Yes,None did,Yes,1,Maybe,No,"No, none did",500-1000,Neutral,I don't know,Rarely,Often,0,I don't know,"Yes, I was aware of all of them",United States of America,United States of America,34.0,Maybe,Maybe,Some of my previous employers,2016
0,Some did,No,No,1,No,Some did,Yes,0,No,No,Some did,More than 1000,Somewhat not open,Somewhat difficult,Not applicable to me,Not applicable to me,0,I don't know,N/A (not currently aware),United States of America,United States of America,31.0,No,Yes,Some of my previous employers,2016
0,Unknown,Maybe,Yes,0,Yes,Unknown,Yes,1,Maybe,No,Unknown,26-100,Somewhat open,Somewhat easy,Rarely,Often,1,I don't know,Unknown,United States of America,United States of America,30.0,Maybe,Yes,Unknown,2016
0,None did,Maybe,Yes,1,Yes,Some did,Yes,0,Maybe,Maybe/Not sure,Some did,100-500,Somewhat not open,Somewhat difficult,Sometimes,Often,0,Yes,"No, I only became aware later",Canada,Canada,32.0,Yes,Maybe,"No, at none of my previous employers",2016
0,None did,Maybe,I don't know,1,I am not sure,None did,Yes,0,Maybe,No,I don't know,6-25,Somewhat not open,Somewhat difficult,Not applicable to me,Not applicable to me,0,I don't know,N/A (not currently aware),United States of America,United States of America,40.0,Maybe,No,Some of my previous employers,2016
0,None did,No,I don't know,1,No,None did,I don't know,0,No,No,"No, none did",100-500,Not applicable to me (I do not have a mental illness),Neither easy nor difficult,Not applicable to me,Not applicable to me,0,I don't know,I was aware of some,United States of America,United States of America,40.0,Yes,Maybe,I don't know,2016
0,None did,Maybe,I don't know,1,I am not sure,None did,Yes,0,No,Maybe/Not sure,"No, none did",More than 1000,Somewhat open,Neither easy nor difficult,Sometimes,Sometimes,1,I don't know,N/A (not currently aware),France,France,41.0,Maybe,Maybe,"No, at none of my previous employers",2016
0,None did,Maybe,No,1,Unknown,None did,Not eligible for coverage / NA,1,Yes,Maybe/Not sure,I don't know,26-100,Somewhat open,Very difficult,Rarely,Often,0,I don't know,N/A (not currently aware),United Kingdom,United Kingdom,27.0,Yes,No,Some of my previous employers,2016
0,None did,No,No,1,Yes,None did,Yes,0,No,"Yes, I observed",Some did,26-100,Somewhat open,Somewhat easy,Not applicable to me,Not applicable to me,1,I don't know,"No, I only became aware later",United States of America,United States of America,30.0,Maybe,Yes,"Yes, at all of my previous employers",2016
1,None did,Maybe,I don't know,1,Unknown,None did,Unknown,0,Maybe,"Yes, I observed","No, none did",Unknown,Neutral,Unknown,Not applicable to me,Not applicable to me,Unknown,Unknown,N/A (not currently aware),Venezuela,Venezuela,29.0,No,Unknown,"No, at none of my previous employers",2016
1,None did,No,No,1,Unknown,Some did,Unknown,0,No,No,I don't know,Unknown,Somewhat not open,Unknown,Not applicable to me,Not applicable to me,Unknown,Unknown,N/A (not currently aware),United Kingdom,United Kingdom,38.0,No,Unknown,"No, at none of my previous employers",2016
1,I don't know,No,No,1,Unknown,None did,Unknown,0,No,Unknown,I don't know,Unknown,Not applicable to me (I do not have a mental illness),Unknown,Not applicable to me,Not applicable to me,Unknown,Unknown,N/A (not currently aware),Netherlands,Netherlands,35.0,No,Unknown,"No, at none of my previous employers",2016
0,None did,Yes,Yes,1,Yes,None did,No,1,Yes,"Yes, I experienced","No, none did",6-25,Somewhat open,Somewhat difficult,Rarely,Often,0,I don't know,I was aware of some,United States of America,United States of America,35.0,Yes,Maybe,Some of my previous employers,2016
0,Some did,Yes,Yes,1,I am not sure,None did,Yes,1,Yes,"Yes, I observed","No, none did",More than 1000,Somewhat open,Neither easy nor difficult,Often,Often,1,I don't know,"Yes, I was aware of all of them",United States of America,United States of America,29.0,Yes,No,Some of my previous employers,2016
0,None did,No,Yes,1,I am not sure,None did,Yes,0,Maybe,No,Some did,100-500,Somewhat open,I don't know,Not applicable to me,Not applicable to me,1,Yes,I was aware of some,United States of America,United States of America,28.0,Maybe,No,Some of my previous employers,2016
0,None did,Maybe,I don't know,1,Yes,"Yes, they all did",No,1,Yes,No,"No, none did",26-100,Very open,Very easy,Rarely,Often,0,Yes,N/A (not currently aware),Netherlands,Netherlands,27.0,No,No,"Yes, at all of my previous employers",2016
1,None did,No,No,1,Unknown,None did,Unknown,1,Yes,Maybe/Not sure,"No, none did",Unknown,Not applicable to me (I do not have a mental illness),Unknown,Not applicable to me,Not applicable to me,Unknown,Unknown,N/A (not currently aware),Poland,Poland,39.0,Yes,Unknown,Some of my previous employers,2016
0,Unknown,No,No,0,I am not sure,Unknown,Yes,0,No,No,Unknown,100-500,Somewhat open,Neither easy nor difficult,Not applicable to me,Not applicable to me,1,I don't know,Unknown,Belgium,Belgium,28.0,Yes,Maybe,Unknown,2016
0,None did,No,Yes,1,No,None did,I don't know,0,No,No,I don't know,6-25,Not open at all,Very difficult,Not applicable to me,Not applicable to me,0,I don't know,N/A (not currently aware),United States of America,United States of America,46.0,No,No,"No, at none of my previous employers",2016
0,None did,No,No,1,No,None did,No,1,Yes,No,I don't know,1-5,Very open,Very easy,Not applicable to me,Not applicable to me,1,I don't know,N/A (not currently aware),Netherlands,Netherlands,40.0,Yes,Yes,"Yes, at all of my previous employers",2016
0,None did,Maybe,Yes,1,Yes,None did,Yes,0,Maybe,No,I don't know,26-100,Somewhat open,Very easy,Not applicable to me,Sometimes,1,Yes,N/A (not currently aware),United States of America,United States of America,37.0,Maybe,Maybe,Some of my previous employers,2016
0,None did,No,Yes,1,Unknown,None did,No,0,No,No,Some did,26-100,Somewhat open,Very easy,Not applicable to me,Not applicable to me,1,I don't know,N/A (not currently aware),Netherlands,Netherlands,41.0,Maybe,Maybe,"Yes, at all of my previous employers",2016
0,None did,No,No,1,I am not sure,Some did,I don't know,0,No,No,I don't know,6-25,Somewhat open,Somewhat easy,Not applicable to me,Not applicable to me,1,No,N/A (not currently aware),Netherlands,Netherlands,38.0,Maybe,Yes,Some of my previous employers,2016
0,I don't know,No,No,1,I am not sure,Some did,I don't know,0,No,No,Some did,26-100,Neutral,Somewhat difficult,Not applicable to me,Not applicable to me,1,I don't know,I was aware of some,United States of America,United States of America,33.0,Yes,No,Some of my previous employers,2016
0,Some did,Yes,Yes,1,Yes,Some did,Yes,1,Yes,No,Some did,26-100,Very open,Very easy,Rarely,Sometimes,1,Yes,I was aware of some,United States of America,United States of America,33.0,Yes,Maybe,Some of my previous employers,2016
0,None did,No,No,1,Yes,None did,Yes,0,No,No,"No, none did",1-5,Somewhat open,I don't know,Not applicable to me,Not applicable to me,1,Yes,N/A (not currently aware),United Kingdom,United Kingdom,21.0,No,Maybe,Some of my previous employers,2016
0,None did,Yes,Yes,1,No,None did,No,0,Yes,"Yes, I experienced",Some did,1-5,Somewhat not open,Very difficult,Often,Often,1,I don't know,I was aware of some,Brazil,Brazil,36.0,No,No,"No, at none of my previous employers",2016
1,None did,Yes,Yes,1,Unknown,None did,Unknown,1,Yes,"Yes, I observed","No, none did",Unknown,Somewhat not open,Unknown,Never,Sometimes,Unknown,Unknown,I was aware of some,Canada,Canada,39.0,Maybe,Unknown,Some of my previous employers,2016
0,Unknown,No,No,0,I am not sure,Unknown,I don't know,0,No,No,Unknown,26-100,Somewhat open,Somewhat easy,Not applicable to me,Not applicable to me,1,Yes,Unknown,United States of America,United States of America,35.0,Yes,Maybe,Unknown,2016
1,I don't know,Yes,Yes,1,Unknown,None did,Unknown,1,Yes,Maybe/Not sure,"Yes, they all did",Unknown,Very open,Unknown,Rarely,Sometimes,Unknown,Unknown,"Yes, I was aware of all of them",France,France,36.0,No,Unknown,Some of my previous employers,2016
0,None did,Maybe,No,1,No,None did,Yes,0,Maybe,"Yes, I experienced",I don't know,6-25,Somewhat not open,Neither easy nor difficult,Not applicable to me,Not applicable to me,1,I don't know,N/A (not currently aware),United States of America,United States of America,45.0,Maybe,No,"No, at none of my previous employers",2016
0,None did,Maybe,No,1,No,Some did,I don't know,0,Maybe,No,I don't know,26-100,Somewhat open,Somewhat difficult,Not applicable to me,Rarely,1,I don't know,I was aware of some,Canada,Canada,41.0,Yes,Maybe,Some of my previous employers,2016
0,None did,Yes,I don't know,1,I am not sure,None did,I don't know,1,Yes,"Yes, I experienced",I don't know,26-100,Neutral,Somewhat difficult,Sometimes,Often,1,I don't know,N/A (not currently aware),United Kingdom,United Kingdom,35.0,Maybe,No,Some of my previous employers,2016
1,None did,Maybe,I don't know,1,Unknown,None did,Unknown,1,Maybe,No,I don't know,Unknown,Somewhat open,Unknown,Sometimes,Often,Unknown,Unknown,N/A (not currently aware),United States of America,United States of America,30.0,Yes,Unknown,Some of my previous employers,2016
0,Unknown,Yes,Yes,0,I am not sure,Unknown,I don't know,1,Yes,No,Unknown,26-100,Very open,Very easy,Sometimes,Often,1,Yes,Unknown,United States of America,United States of America,24.0,No,Maybe,Unknown,2016
0,None did,No,I don't know,1,Unknown,None did,No,1,Yes,Unknown,"No, none did",100-500,Somewhat open,I don't know,Never,Sometimes,0,I don't know,N/A (not currently aware),Brazil,Brazil,33.0,Maybe,No,"No, at none of my previous employers",2016
0,I don't know,Maybe,Yes,1,Yes,"Yes, they all did",Yes,1,Yes,No,"Yes, they all did",More than 1000,Somewhat not open,Neither easy nor difficult,Rarely,Often,1,I don't know,"Yes, I was aware of all of them",United States of America,United States of America,35.0,No,Maybe,I don't know,2016
0,None did,Yes,No,1,Unknown,None did,No,0,No,Maybe/Not sure,"No, none did",6-25,Somewhat open,Neither easy nor difficult,Rarely,Sometimes,1,I don't know,N/A (not currently aware),United Kingdom,United Kingdom,26.0,Yes,Maybe,"No, at none of my previous employers",2016
0,None did,No,No,1,Unknown,None did,No,0,No,"Yes, I observed","No, none did",6-25,Not open at all,Somewhat difficult,Never,Sometimes,1,I don't know,N/A (not currently aware),Brazil,Brazil,17.0,Yes,No,I don't know,2016
0,None did,Yes,No,1,I am not sure,None did,I don't know,1,Yes,Unknown,"No, none did",6-25,Somewhat open,Neither easy nor difficult,Sometimes,Often,0,I don't know,N/A (not currently aware),United States of America,United States of America,29.0,Maybe,Maybe,Some of my previous employers,2016
0,Some did,Yes,Yes,1,I am not sure,None did,Yes,1,Yes,No,Some did,100-500,Somewhat open,Neither easy nor difficult,Rarely,Often,1,I don't know,I was aware of some,United States of America,United States of America,26.0,Yes,Maybe,Some of my previous employers,2016
0,"Yes, they all did",No,No,1,I am not sure,"Yes, they all did",I don't know,0,No,"Yes, I observed","Yes, they all did",26-100,Not applicable to me (I do not have a mental illness),Very easy,Not applicable to me,Not applicable to me,1,I don't know,"Yes, I was aware of all of them",United States of America,United States of America,36.0,No,Maybe,Some of my previous employers,2016
0,None did,No,I don't know,1,I am not sure,None did,I don't know,0,No,No,I don't know,26-100,Somewhat open,I don't know,Not applicable to me,Not applicable to me,1,Yes,N/A (not currently aware),United States of America,United States of America,46.0,Maybe,No,I don't know,2016
1,None did,Yes,Yes,1,Unknown,Some did,Unknown,0,Yes,"Yes, I observed",Some did,Unknown,Somewhat open,Unknown,Not applicable to me,Not applicable to me,Unknown,Unknown,I was aware of some,Netherlands,Netherlands,39.0,Maybe,Unknown,Some of my previous employers,2016
0,None did,Yes,Yes,1,Yes,None did,Yes,1,Yes,No,"No, none did",100-500,Somewhat open,Somewhat difficult,Sometimes,Often,1,I don't know,N/A (not currently aware),United States of America,United States of America,28.0,No,Maybe,Some of my previous employers,2016
0,None did,No,No,1,No,None did,Yes,0,No,Unknown,I don't know,500-1000,Not applicable to me (I do not have a mental illness),Neither easy nor difficult,Not applicable to me,Not applicable to me,1,I don't know,N/A (not currently aware),United States of America,United States of America,40.0,No,No,"No, at none of my previous employers",2016
0,Unknown,Yes,I don't know,0,No,Unknown,I don't know,1,Yes,No,Unknown,100-500,Very open,I don't know,Often,Often,1,I don't know,Unknown,United States of America,United States of America,23.0,Maybe,Maybe,Unknown,2016
